name,price,单位
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
[六环以外]霸州霸州·温泉新都孔雀城接待中心(大广高速392出口),8800,元/㎡
[五至六环]通州永顺镇榆东一街,60000,元/㎡起
[六环以外]崇礼河北省张家口市崇礼区万龙路口南(汤inn温泉假日酒店南侧),18000,元/㎡
[三至四环]丰台宋家庄站向南200米,95500,元/㎡起
[四至五环]丰台南四环地铁新宫站南500米,82000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",72000,元/㎡
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[四至五环]丰台南四环新宫地铁站南800米,,
[五至六环]海淀北清路永丰产业基地东侧,75000,元/㎡
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇",60000,元/㎡
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,55000,元/㎡
[五至六环]昌平新城地铁南邵站西侧,500,万元/套起
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧",72000,元/㎡
秦皇岛 北戴河新区大蒲河镇东沙河左大桥西500米,8500,元/㎡
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,52695,元/㎡
[外环以外]天津天嘉湖大道西侧,8800,元/㎡起
[四至五环]朝阳东四环中路58号,价格待定,
[五至六环]朝阳驹子房村,37000,元/㎡
天津 [外环以外]宝坻津蓟高速2号出口,9500,元/㎡
[六环以外]廊坊开发区东方大学城西侧(楼庄路与居易道交汇处),12000,元/㎡起
[四至五环]大兴南大红门路与五福堂路交叉口,63500,元/㎡
